CG
Line A: Structure Position, Actual Response - Global X (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, Actual Response - Global Y (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line C: Structure Position, Actual Response - Global Z (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]

*Time (s),Line A (m),Line B (m),Line C (m)
19.9,-0.306247174739838,-6.09491765499115E-02,-4.34800423681736E-03
20,-0.310143113136292,-6.13078474998474E-02,-4.4724511099048E-04
20.1,-0.313634812831879,-6.15398697555065E-02,2.62090400792658E-03
20.2,-0.316675156354904,-6.16427175700665E-02,4.84487833455205E-03
20.3,-0.319224447011948,-6.16145357489586E-02,6.21383218094707E-03
20.4,-0.321251273155212,-6.14552646875381E-02,6.7182662896812E-03
20.5,-0.322733521461487,-0.061166163533926,6.35048421099782E-03
20.6,-0.323658853769302,-6.07493333518505E-02,5.10445749387145E-03
20.7,-0.324025064706802,-6.02081976830959E-02,2.97573721036315E-03
20.8,-0.323840349912643,-5.95471449196339E-02,-3.79370067093987E-05
20.9,-0.323123127222061,-0.058772124350071,-3.93672473728657E-03
21,-0.321901857852936,-5.78898191452026E-02,-8.71943961828947E-03
21.1,-0.320214509963989,-5.69081045687199E-02,-1.43820205703378E-02
21.2,-0.318107545375824,-5.58351911604404E-02,-2.09183488041162E-02
21.3,-0.315634727478027,-5.46803399920464E-02,-2.83203460276127E-02
21.4,-0.312856048345566,-5.34537881612778E-02,-3.65780368447304E-02
21.5,-0.30983629822731,-5.21661750972271E-02,-4.56794463098049E-02
21.6,-0.306643754243851,-5.08286394178867E-02,-5.56102953851223E-02
21.7,-0.303348511457443,-4.94526363909245E-02,-6.63541108369827E-02
21.8,-0.300021111965179,-4.80495058000088E-02,-7.78922215104103E-02
21.9,-0.296731233596802,-4.66304123401642E-02,-9.02041494846344E-02
22,-0.293546557426453,-4.52066659927368E-02,-0.103268221020699
22.1,-0.290531367063522,-4.37891520559788E-02,-0.117061257362366
22.2,-0.287745654582977,-4.23882156610489E-02,-0.131558552384377
22.3,-0.285243958234787,-4.10137996077538E-02,-0.14673338830471
22.4,-0.283074498176575,-3.96750643849373E-02,-0.162558808922768
22.5,-0.281278312206268,-0.038380466401577,-0.179006427526474
22.6,-0.279888570308685,-3.71376276016235E-02,-0.196047142148018
22.7,-0.278929889202118,-3.59535664319992E-02,-0.213651701807976
22.8,-0.278417974710464,-3.48343029618263E-02,-0.231790408492088
22.9,-0.278359353542328,-3.37850116193295E-02,-0.250433295965195
23,-0.278751403093338,-3.28102260828018E-02,-0.269550263881683
23.1,-0.279582500457764,-3.19136790931225E-02,-0.289111495018005
23.2,-0.280832558870316,-3.10984496027231E-02,-0.30908739566803
23.3,-0.282473593950272,-3.03670447319746E-02,-0.329448670148849
23.4,-0.284470558166504,-2.97213084995747E-02,-0.350166767835617
23.5,-0.286782264709473,-0.029162647202611,-0.371214151382446
23.6,-0.289362400770187,-0.028692115098238,-0.392564296722412
23.7,-0.292160391807556,-0.028310464695096,-0.41419130563736
23.8,-0.295122504234314,-2.80181057751179E-02,-0.436070501804352
23.9,-0.298192918300629,-2.78152413666248E-02,-0.458178162574768
24,-0.301314353942871,-2.77019720524549E-02,-0.480491459369659
24.1,-0.304429233074188,-2.76780594140291E-02,-0.502988755702972
24.2,-0.307480186223984,-2.77431663125753E-02,-0.52564936876297
24.3,-0.310411155223846,-2.78967898339033E-02,-0.548453867435455
