Rotation
Line A: Structure Position, Actual Response - Global RX (15MW-Semi-sub) [°]
Line B: Structure Position, Actual Response - Global RY (15MW-Semi-sub) [°]
Line C: Structure Position, Actual Response - Global RZ (15MW-Semi-sub) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
8.2,5.99093772470951E-02,0.132262259721756,0.238262459635735
8.3,6.01627677679062E-02,0.131917342543602,0.245743781328201
8.4,0.060500755906105,0.131495222449303,0.253051161766052
8.5,6.09173513948917E-02,0.131000325083733,0.260145276784897
8.6,6.14086650311947E-02,0.130432039499283,0.266988575458527
8.7,6.19734339416027E-02,0.12978520989418,0.273549824953079
8.8,6.26065880060196E-02,0.12906502187252,0.279801249504089
8.9,6.33003786206245E-02,0.128268882632256,0.285707026720047
9,6.40478581190109E-02,0.127405405044556,0.29124116897583
9.1,6.48417472839355E-02,0.12645623087883,0.296376585960388
9.2,6.56799972057343E-02,0.12543673813343,0.301096379756927
9.3,6.65518864989281E-02,0.124328210949898,0.30537736415863
9.4,6.74428194761276E-02,0.123127311468124,0.309205055236816
9.5,0.068354532122612,0.121839180588722,0.312563240528107
9.6,6.92819282412529E-02,0.120464645326138,0.315444082021713
9.7,7.02095925807953E-02,0.118994437158108,0.317834854125977
9.8,7.11297690868378E-02,0.117421768605709,0.319727003574371
9.9,7.20279589295387E-02,0.115740761160851,0.32112044095993
10,7.28999525308609E-02,0.113958328962326,0.322010099887848
10.1,7.37383663654327E-02,0.112060323357582,0.322399169206619
10.2,7.45327025651932E-02,0.110048308968544,0.322300404310226
10.3,7.52724707126617E-02,0.107918225228786,0.321715414524078
10.4,0.075950525701046,0.105660863220692,0.320654898881912
10.5,7.65545070171356E-02,0.103282257914543,0.319133311510086
10.6,7.70872011780739E-02,0.100775577127934,0.317171424627304
10.7,7.75232687592506E-02,9.81460809707642E-02,0.31478813290596
10.8,7.78682231903076E-02,9.53945443034172E-02,0.312004595994949
10.9,7.81078264117241E-02,9.25159826874733E-02,0.308852642774582
11,7.82402381300926E-02,8.95195305347443E-02,0.305363923311234
11.1,7.82603397965431E-02,8.64039212465286E-02,0.301574170589447
11.2,7.81588330864906E-02,8.31794887781143E-02,0.297524034976959
11.3,7.79332146048546E-02,7.98461958765984E-02,0.293245226144791
11.4,7.75741636753082E-02,7.64200985431671E-02,0.288782030344009
11.5,7.70749226212502E-02,7.29097127914429E-02,0.284178197383881
11.6,0.076444111764431,6.93205371499062E-02,0.279474794864655
11.7,7.56647363305092E-02,6.56769797205925E-02,0.274712324142456
11.8,0.074738584458828,6.19815513491631E-02,0.269938379526138
11.9,7.36657828092575E-02,5.82579262554646E-02,0.265181481838226
12,7.24344179034233E-02,5.45187704265118E-02,0.260477751493454
12.1,7.10530951619148E-02,5.07823564112186E-02,0.255857944488525
12.2,6.95238187909126E-02,4.70685511827469E-02,0.251350283622742
12.3,6.78445175290108E-02,4.33943532407284E-02,0.24696846306324
12.4,6.60120919346809E-02,3.97804081439972E-02,0.242736279964447
12.5,6.40257447957993E-02,3.62456329166889E-02,0.23867304623127
12.6,6.18906393647194E-02,3.28133553266525E-02,0.234782710671425
12.7,5.96213638782501E-02,0.029497392475605,0.231079578399658
12.8,5.72103783488274E-02,0.026318272575736,0.227564185857773
12.9,5.46677708625794E-02,2.32998039573431E-02,0.224257364869118
13,5.19936978816986E-02,2.04560812562704E-02,0.221159189939499
13.1,4.92035634815693E-02,1.78030617535114E-02,0.218290418386459
13.2,4.62879836559296E-02,1.53586994856596E-02,0.215633407235146
13.3,4.32708784937859E-02,1.31297362968326E-02,0.213221520185471
13.4,4.01608347892761E-02,1.11366380006075E-02,0.21105395257473
13.5,3.69663462042809E-02,9.38108190894127E-03,0.20915712416172
13.6,0.033695112913847,7.86817073822021E-03,0.207530528306961
13.7,3.03540211170912E-02,6.62009511142969E-03,0.20618924498558
13.8,2.69624944776297E-02,5.62825473025441E-03,0.205163314938545
13.9,2.35287304967642E-02,4.89263981580734E-03,0.204458519816399
14,2.00662761926651E-02,4.41065803170204E-03,0.204102158546448
14.1,0.016583688557148,4.18262928724289E-03,0.204096496105194
14.2,1.30976270884275E-02,4.20016888529062E-03,0.204476922750473
14.3,9.62447468191385E-03,4.45930659770966E-03,0.205276280641556
14.4,6.17072591558099E-03,4.93613490834832E-03,0.206498116254807
14.5,2.75209476239979E-03,5.61952730640769E-03,0.208162054419518
14.6,-6.17575191427022E-04,6.49664737284184E-03,0.210314899682999
14.7,-3.92339797690511E-03,7.54655105993152E-03,0.212956294417381
14.8,-7.15432316064835E-03,8.75064916908741E-03,0.216126620769501
14.9,-1.02984439581633E-02,1.00890696048737E-02,0.219835743308067
15,-1.33485728874803E-02,0.011534696444869,0.224097445607185
15.1,-1.62829793989658E-02,1.30718806758523E-02,0.228918999433517
15.2,-1.90991871058941E-02,1.46707333624363E-02,0.23430971801281
15.3,-2.17835996299982E-02,1.63081604987383E-02,0.240274772047997
15.4,-2.43235044181347E-02,1.79597809910774E-02,0.246808648109436
15.5,-2.67198383808136E-02,1.96008253842592E-02,0.25390949845314
15.6,-2.89556235074997E-02,2.12030317634344E-02,0.261556357145309
15.7,-0.031031833961606,2.27407813072205E-02,0.269730865955353
15.8,-3.29374521970749E-02,0.024196483194828,0.278404474258423
15.9,-3.46709042787552E-02,0.025547482073307,0.28754460811615
16,-3.62233333289623E-02,2.67740543931723E-02,0.297108709812164
16.1,-3.75979095697403E-02,2.78480462729931E-02,0.307048290967941
16.2,-3.87862026691437E-02,2.87560075521469E-02,0.317308574914932
16.3,-3.97930778563023E-02,2.94770561158657E-02,0.32782444357872
16.4,-4.06217090785503E-02,2.99927853047848E-02,0.33852607011795
16.5,-4.12673056125641E-02,3.02945673465729E-02,0.349336177110672
16.6,-4.17465455830097E-02,3.03617380559444E-02,0.360168606042862
16.7,-4.20536063611507E-02,3.01880016922951E-02,0.370943069458008
16.8,-4.21919152140617E-02,2.97610461711884E-02,0.381569057703018
16.9,-4.21794019639492E-02,2.90745440870523E-02,0.391955018043518
17,-4.20126095414162E-02,0.028119932860136,0.402005732059479
17.1,-4.17014360427856E-02,2.68946941941977E-02,0.411630094051361
17.2,-4.12630960345268E-02,2.53963395953178E-02,0.42073580622673
17.3,-4.06937524676323E-02,2.36341916024685E-02,0.429233700037003
17.4,-4.00140397250652E-02,2.15953513979912E-02,0.437040030956268
17.5,-0.039227306842804,1.92951951175928E-02,0.444078773260117
17.6,-3.83524261415005E-02,1.67278684675694E-02,0.450270622968674
17.7,-3.74012775719166E-02,1.39062749221921E-02,0.455551385879517
